abbreviation_canton_and_fl,ncumul_tested_src,ncumul_tested_def,ncumul_conf_src,ncumul_conf_def,new_hosp_src,new_hosp_def,current_hosp_src,current_hosp_def,current_icu_src,current_icu_def,current_vent_src,current_vent_def,ncumul_released_src,ncumul_released_def,ncumul_deceased_src,ncumul_deceased_def,current_isolated_src,current_isolated_def,current_quarantined_src,current_quarantined_def,from,until,active
AG,,,,,,,,,,,,,,,,,,,,,,,
AI,,,canton,report,,,,,,,,,,,canton,all_pos,canton,pos_10_free,canton,no_res_10_free,1970-01-01,,1
AR,,,canton,,,,canton,suspected_incl,canton,suspected_incl,,,,,canton,all_pos,canton,pos_10_free,canton,no_res_10_free,1970-01-01,,1
BE,,,,,,,,,,,,,,,,,,,,,,,
BL,,,canton,report,,,ies,suspected_incl,ies,pos,ies,pos,canton,estimate,ism,ante_pos,canton,pos_10_free,canton,no_res_10_free,1970-01-01,2020-04-28,
BL,,,canton,report,,,ies,pos,ies,pos,ies,pos,canton,estimate,ism,ante_pos,canton,pos_10_free,canton,no_res_10_free,2020-04-29,,1
BS,,,canton,report,,,canton,pos,canton,pos,,,canton,released_free,canton,,canton,pos,canton,,1970-01-01,,1
FL,,,canton,report,,,,,,,,,,,canton,all_pos,,,,,,,
FR,,,canton,report_conf,,,canton,pos,canton,pos,,,canton,released,canton,all_pos_suspected_incl,,,,,1970-01-01,,1
GE,,,,,,,,,,,,,,,,,,,,,,,
GL,,,ism,result,,,,,,,,,,,ism,ante_pos,,,,,1970-01-01,,1
GR,,,ism,sampling,,,canton,pos,canton,pos,canton,pos,,,ism,all_pos_suspected_incl,canton,pos_10_free,canton,no_res_10_free,1970-01-01,,1
JU,,,canton,report_first,,,canton,pos,canton,pos,,,,,canton,ante_pos_suspected_incl,canton,pos_10_free,canton,no_res_10_free,1970-01-01,2020-05-22,0
JU,,,canton,report_first,,,canton,suspected_incl,canton,suspected_incl,,,,,canton,ante_pos_suspected_incl,canton,pos_10_free,canton,no_res_10_free,2020-05-23,,1
LU,,,,,,,,,,,,,,,,,,,,,,,
NE,,,canton,sampling_conf,,,canton,pos,canton,pos,canton,pos,,,canton,all_pos_suspected_incl,,,,,1970-01-01,,1
NW,,,ism,report,,,canton,suspected_incl,canton,suspected_incl,,,,,ism,ante_pos,,,,,1970-01-01,,1
OW,,,canton,report_conf,,,canton,pos,,,,,,,canton,all_pos,,,,,1970-01-01,,1
SG,,,canton,result_conf,,,canton,,canton,,,,canton,,,all_pos,,,,,1970-01-01,,0
SG,,,canton,result_conf,,,ies,pos,ies,pos,,,,,canton,all_pos,,,,,,,1
SH,,,ism,report,,,canton,suspected_incl,canton,suspected_incl,,,,,canton,all_pos_suspected_incl,,,,,1970-01-01,,1
SO,,,,,,,,,,,,,,,,,,,,,,,
SZ,,,canton,report,,,,,,,,,canton,,canton,ante_pos,,,,,1970-01-01,,1
TG,canton,result,canton,result,,,,,,,,,,released,,,,,,,1970-01-01,,1
TI,,,,,,,,,,,,,,,,,,,,,,,
UR,,,canton,result_conf,,,canton,pos,,,,,canton,pos_10_free,canton,ante_pos,,,,,1970-01-01,,1
VD,,,canton_ism,result,,,canton,pos,canton,pos,,,canton,released,canton_ism,all_pos_suspected_incl,,,,,1970-01-01,,1
VS,,,canton,sampling,,,canton,pos,canton,pos,canton,pos,canton,released_iso_incl,canton,ante_pos,canton,pos_10_free,canton,no_res_10_free,1970-01-01,,1
ZG,,,canton,report,,,canton,pos,canton,pos,,,canton,released_iso_incl,canton,ante_pos,canton,pos_10_free,canton,no_res_10_free,1970-01-01,,1
ZH,ism,report,canton,report_conf,,,canton,pos,,,canton,pos,,,canton,all_pos,canton,,canton,no_res_10_free,1970-01-01,,1
